"primary_block","subgroup","display_order","section_anchor","method","cite_keys","venue","year","chronology_month","chronology_basis","backbone","wm_architecture","params_total","params_trainable","role_tags","input_modalities","feedback_modalities","state_representation","prediction_target","control_variables","intervention_variables","training_strategy","objective_algorithm","training_data","training_data_type","training_scale_value","training_scale_unit","applications","benchmarks","evaluation_type","verified_from_primary","evidence_note","venue","chronology_month","chronology_basis"
"temporal_imaginative","Interactive Visual Worlds and Game Simulators","1","Interactive Visual Worlds and Game Simulators","World Models","ha2018worldmodels","NeurIPS","2018","2018-12","formal conference month","VAE","MDN-RNN latent dynamics","NR","NR","TI-I;TI-G;TI-M","I","R","Lat","next Lat; I","A","alternative A","offline WM + controller search","VAE reconstruction + MDN dynamics; CMA-ES","CarRacing; VizDoom rollouts","sim","NR","NR","game control","CarRacing; VizDoom","named environments","true","Primary paper Secs. 2-4 and experiments; architecture and controller-in-dream setup. Parameter count not reported as a table-ready total.","NeurIPS","2018-12","formal conference month"
"temporal_imaginative","Interactive Visual Worlds and Game Simulators","2","Interactive Visual Worlds and Game Simulators","SimPLe","kaiser2020atari100k","ICLR","2020","2020-04","formal conference month","CNN encoder-decoder","stochastic video prediction model","NR","NR","TI-I;TI-G","I","R","frame history","next I; R","A","alternative A","alternating model learning and policy optimization","action-conditioned video prediction + PPO","Atari interaction","sim","100K","environment steps","game simulation; control","Atari 100K","named benchmark","true","The primary ICLR paper verifies an action-conditioned stochastic video model, alternating model and policy learning, and policy optimization inside simulated Atari rollouts.","ICLR","2020-04","formal conference month"
"temporal_imaginative","Interactive Visual Worlds and Game Simulators","3","Interactive Visual Worlds and Game Simulators","EfficientZero","ye2021efficientzero","NeurIPS","2021","2021-12","formal conference month","representation + dynamics networks","value-equivalent recurrent world model","NR","NR","TI-I;TI-G;TI-M","I","R","latent game state","next Lat; R; value; policy","A","alternative A","online model-based RL","value-prefix prediction + self-supervised consistency + MCTS","Atari interaction","sim","100K","environment steps","game control; planning","Atari 100K; DMC 100K","named benchmarks","true","The NeurIPS paper identifies EfficientZero as a sample-efficient visual model-based RL algorithm built on MuZero and verifies value-prefix prediction, latent consistency, and MCTS-based planning.","NeurIPS","2021-12","formal conference month"
"temporal_imaginative","Predictive Representation and JEPA Models","1","Predictive Representation and JEPA Models","TD-MPC","hansen2022tdmpc","ICML","2022","2022-07","formal conference month","MLP encoder + latent dynamics","task-oriented latent dynamics","NR","NR","TI-I;TI-G;AC-R","I; P","R","task Lat","next Lat; R; value; policy","A","alternative A","online model-based RL","joint latent consistency, reward, value, and policy learning + MPPI","DMC; Meta-World interaction","real + sim","NR","NR","continuous control; planning","DMC; Meta-World","named benchmarks","true","The ICML paper verifies a learned task-oriented latent dynamics model, jointly learned terminal value function, short-horizon trajectory optimization, and state- and image-based continuous-control evaluation.","ICML","2022-07","formal conference month"
"temporal_imaginative","Interactive Visual Worlds and Game Simulators","9","Interactive Visual Worlds and Game Simulators","JOWA","cheng2025jowa","ICLR","2025","2025-04","formal conference month","shared Transformer","joint world-action transformer","150M","150M","TI-I;TI-G;TI-M","I","R","latent game state","next Lat; R; value; policy","A","alternative A","offline model-based RL","joint world/action prediction, temporal-difference learning, and planning","multi-game Atari offline data","sim","6B","tokens","game control; planning","Atari games","named benchmark suite","true","The ICLR paper verifies a shared world-action transformer, joint model and policy optimization, temporal-difference learning, planning, and pretraining on six billion tokens of offline Atari data.","ICLR","2025-04","formal conference month"
"temporal_imaginative","Predictive Representation and JEPA Models","2","Predictive Representation and JEPA Models","DINO-WM","zhou2025dinowm","ICML","2025","2025-07","formal conference month","DINOv2 encoder + dynamics predictor","feature-space dynamics transformer","NR","NR","TI-I;TI-G;AC-R","I","NR","DINOv2 patch features","future patch features","A","alternative A","offline predictive learning","future feature prediction + action-sequence optimization","offline behavior trajectories","real + sim","NR","NR","zero-shot planning; manipulation","six control environments","custom suite","true","The ICML paper verifies offline prediction of future DINOv2 patch features and test-time action-sequence optimization for zero-shot planning across six environments.","ICML","2025-07","formal conference month"
"action_coupled","Robot World Models and World-Action Models","7","Robot World Models and World-Action Models","UVA","uva2025","RSS","2025","2025-06","formal conference month","shared video-action encoder + diffusion heads","joint video-action latent diffusion","NR","NR","TI-I;TI-G;AC-R","V","NR","shared V-A latent","V; A","A","alternative A","joint video-action learning","masked video/action diffusion with decoupled decoding","multi-task robot trajectories","real + sim","NR","NR","robot policy; forward/inverse dynamics","robot manipulation suites","custom suite","true","The primary paper verifies a joint video-action latent representation, masked multimodal training, and decoupled diffusion heads for policy learning, forward and inverse dynamics, and video prediction.","RSS","2025-06","formal conference month"
"structured_state","Spatial, Geometric, and Occupancy States","5","Spatial, Geometric, and Occupancy States","Aether","zhu2025aether","ICCV","2025","2025-10","formal conference month","video diffusion + geometric branch","geometry-aware video world model","NR","NR","TI-G;SS-G;AC-N","I; P","NR","RGB-D geometric state","future I; D; trajectory","A; Cam","alternative A/Cam","joint multi-task predictive learning","4D reconstruction + action-conditioned prediction + visual planning","synthetic 4D data","sim","NR","NR","4D reconstruction; future prediction; visual planning","custom 4D and action tasks","custom suite","true","The ICCV paper verifies joint 4D reconstruction, action-conditioned video prediction, and goal-conditioned visual planning with camera trajectories as geometry-informed controls.","ICCV","2025-10","formal conference month"
"temporal_imaginative","Interactive Visual Worlds and Game Simulators","2","Interactive Visual Worlds and Game Simulators","Dreamer","hafner2019dreamer","ICLR","2020","2020-04","formal conference month","CNN encoder/decoder","RSSM","NR","NR","TI-I;TI-G;TI-M;AC-R","I","R","Lat","I; R; continuation","A","alternative A","online model-based RL","ELBO-style world loss + actor-critic in imagination","DeepMind Control Suite; robot data","real + sim","NR","NR","continuous control","DMC; robot visual control","named benchmarks","true","Primary paper Secs. 2-4 and Appendix; RSSM and latent-imagination behavior learning verified. Exact total/trainable parameters and one aggregate training scale are not reported.","ICLR","2020-04","formal conference month"
"temporal_imaginative","Interactive Visual Worlds and Game Simulators","3","Interactive Visual Worlds and Game Simulators","DreamerV3","hafner2023dreamerv3","Nature","2025","2025-04","journal publication month","CNN encoder/decoder","categorical RSSM","200M","NR","TI-I;TI-G;TI-M;AC-R","I","R","Lat","I; R; continuation","A","alternative A","online model-based RL","world prediction + actor-critic in imagination","multi-domain environment interaction","sim","NR","NR","general control","Atari; DMC; Minecraft; others","named benchmark suite","true","Primary Nature paper Methods, computational choices, and extended data: the default model is 200M parameters and evaluated across 150+ tasks. Trainable-only count and a unified sample unit are not reported.","Nature","2025-04","journal publication month"
"temporal_imaginative","Interactive Visual Worlds and Game Simulators","4","Interactive Visual Worlds and Game Simulators","Genie","bruce2024genie","ICML","2024","2024-07","formal conference month","video tokenizer","latent action autoregressive transformer","11B","NR","TI-I;TI-G","V","NR","discrete visual tokens","I","latent A","alternative latent A","unsupervised video pretraining","next-token video prediction + latent-action learning","Internet game video","real video","NR","NR","playable world generation","platformer videos; human evaluation","custom protocol","true","Primary paper abstract and Secs. 2-4: 11B model, latent action model, and action-controllable frame generation verified. Trainable-only count and a single exact corpus-scale value are not reported.","ICML","2024-07","formal conference month"
"temporal_imaginative","Interactive Visual Worlds and Game Simulators","5","Interactive Visual Worlds and Game Simulators","GameNGen","vale2024gamenegen","ICLR","2025","2025-04","formal conference month","Stable Diffusion image model","action-conditioned diffusion","NR","NR","TI-I;TI-G","I","NR","frame history","next I","A","alternative A","two-stage agent collection + diffusion training","denoising diffusion","DOOM trajectories","sim gameplay","NR","NR","real-time game simulation","DOOM; human study","custom protocol","true","Primary paper architecture and experiments; action-conditioned diffusion and DOOM interactive simulation verified. Backbone component size was not treated as total method parameters.","ICLR","2025-04","formal conference month"
